longditude;laditude;oni_coefficient_minus_zero_lag
161.25;-81.25;-0.04000000000000000083
163.75;-81.25;-0.02999999999999999889
166.25;-81.25;-0.01000000000000000021
168.75;-81.25;0.01000000000000000021
171.25;-81.25;-0.02000000000000000042
173.75;-81.25;-0.02000000000000000042
176.25;-81.25;0.000000000000000000
178.75;-81.25;-0.01000000000000000021
181.25;-81.25;-0.02000000000000000042
183.75;-81.25;-0.01000000000000000021
186.25;-81.25;-0.02999999999999999889
188.75;-81.25;-0.05000000000000000278
191.25;-81.25;-0.02000000000000000042
193.75;-81.25;-0.02999999999999999889
196.25;-81.25;-0.02999999999999999889
198.75;-81.25;-0.07000000000000000666
201.25;-81.25;-0.05999999999999999778
203.75;-81.25;-0.08000000000000000167
206.25;-81.25;-0.08000000000000000167
208.75;-81.25;-0.08000000000000000167
211.25;-81.25;-0.08000000000000000167
213.75;-81.25;-0.08999999999999999667
216.25;-81.25;-0.1000000000000000056
218.75;-81.25;-0.08000000000000000167
221.25;-81.25;-0.08000000000000000167
223.75;-81.25;-0.07000000000000000666
226.25;-81.25;-0.08000000000000000167
228.75;-81.25;-0.02999999999999999889
231.25;-81.25;-0.02000000000000000042
233.75;-81.25;-0.02999999999999999889
236.25;-81.25;-0.04000000000000000083
238.75;-81.25;-0.02999999999999999889
241.25;-81.25;-0.05000000000000000278
243.75;-81.25;-0.02999999999999999889
246.25;-81.25;-0.02000000000000000042
248.75;-81.25;-0.05000000000000000278
251.25;-81.25;-0.04000000000000000083
253.75;-81.25;-0.02999999999999999889
256.25;-81.25;-0.05999999999999999778
258.75;-81.25;-0.08000000000000000167
261.25;-81.25;-0.08000000000000000167
263.75;-81.25;-0.08000000000000000167
266.25;-81.25;-0.08999999999999999667
268.75;-81.25;-0.05999999999999999778
271.25;-81.25;-0.07000000000000000666
273.75;-81.25;-0.07000000000000000666
276.25;-81.25;-0.05999999999999999778
278.75;-81.25;-0.05999999999999999778
281.25;-81.25;-0.05999999999999999778
283.75;-81.25;-0.08000000000000000167
286.25;-81.25;-0.08000000000000000167
288.75;-81.25;-0.05999999999999999778
291.25;-81.25;-0.07000000000000000666
293.75;-81.25;-0.07000000000000000666
296.25;-81.25;-0.05999999999999999778
298.75;-81.25;-0.05000000000000000278
301.25;-81.25;-0.05999999999999999778
303.75;-81.25;-0.05999999999999999778
306.25;-81.25;-0.05999999999999999778
308.75;-81.25;-0.05000000000000000278
